confidential_field,test_r2
metered_load_mw,0.9895427227020264
total_gen,0.9860689640045166
total_lmp_da,0.9801580905914307
da_as_total_mw_primary_reserve,0.9517847299575806
da_as_total_mw_synchronized_reserve,0.9160369634628296
total_losses,0.8322493433952332
da_as_total_mw_thirty_minutes_reserve,0.8259292840957642
marginal_loss_price_da,0.7876486778259277
net_actual_interchange_mw,0.7837465405464172
gross_actual_interchange_mw,0.7504400610923767
congestion_price_rt,0.6094561815261841
congestion_price_da,0.48028087615966797
